"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 01 00:53:14 SAMT 2025","Mon Dec 01 00:53:17 SAMT 2025","3578","","testsUi.LoginUiTest","","testsUi.LoginUiTest","testLoginFromMainButton","Вход по кнопке 'Войти в аккаунт' на главной","Проверяет вход через кнопку на главной странице"
"passed","Mon Dec 01 00:52:58 SAMT 2025","Mon Dec 01 00:53:02 SAMT 2025","4379","","testsUi.RegistrationTest","","testsUi.RegistrationTest","testSuccessfulRegistration","Успешная регистрация","Проверяет успешную регистрацию с валидными данными"
"passed","Mon Dec 01 00:53:02 SAMT 2025","Mon Dec 01 00:53:07 SAMT 2025","4218","","testsUi.LoginUiTest","","testsUi.LoginUiTest","testLoginFromPasswordRecovery","Вход через кнопку в форме восстановления пароля","Проверяет вход через форму восстановления пароля"
"passed","Mon Dec 01 00:53:19 SAMT 2025","Mon Dec 01 00:53:21 SAMT 2025","2045","","testsUi.ConstructorTest","","testsUi.ConstructorTest","testNavigateToSauces","Переход к разделу 'Соусы'","Проверяет, что работает переход к разделу 'Соусы'"
"passed","Mon Dec 01 00:53:07 SAMT 2025","Mon Dec 01 00:53:10 SAMT 2025","3466","","testsUi.LoginUiTest","","testsUi.LoginUiTest","testLoginFromRegisterForm","Вход через кнопку в форме регистрации","Проверяет вход через ссылку в форме регистрации"
"passed","Mon Dec 01 00:52:54 SAMT 2025","Mon Dec 01 00:52:58 SAMT 2025","3570","","testsUi.RegistrationTest","","testsUi.RegistrationTest","testInvalidPasswordError","Ошибка для некорректного пароля","Проверяет ошибку при пароле менее 6 символов"
"passed","Mon Dec 01 00:53:10 SAMT 2025","Mon Dec 01 00:53:14 SAMT 2025","3735","","testsUi.LoginUiTest","","testsUi.LoginUiTest","testLoginFromPersonalCabinet","Вход через кнопку 'Личный кабинет'","Проверяет вход через личный кабинет"
"passed","Mon Dec 01 00:53:21 SAMT 2025","Mon Dec 01 00:53:23 SAMT 2025","1931","","testsUi.ConstructorTest","","testsUi.ConstructorTest","testNavigateToFillings","Переход к разделу 'Начинки'","Проверяет, что работает переход к разделу 'Начинки'"
"passed","Mon Dec 01 00:53:17 SAMT 2025","Mon Dec 01 00:53:19 SAMT 2025","1943","","testsUi.ConstructorTest","","testsUi.ConstructorTest","testNavigateToBuns","Переход к разделу 'Булки'","Проверяет, что работает переход к разделу 'Булки'"
